pub_date	title	venue	excerpt	citation	url_slug	paper_url
2021-11-11	Longitudinal patient stratification of electronic health records with flexible adjustment for clinical outcomes	arXiv	"The increase in availability of longitudinal electronic health record (EHR) data is leading to improved understanding of diseases and discovery of novel phenotypes. The majority of clustering algorithms focus only on patient trajectories, yet patients with similar trajectories may have different outcomes. Finding subgroups of patients with different trajectories and outcomes can guide future drug development and improve recruitment to clinical trials. We develop a recurrent neural network autoencoder to cluster EHR data using reconstruction, outcome, and clustering losses which can be weighted to find different types of patient clusters. We show our model is able to discover known clusters from both data biases and outcome differences, outperforming baseline models. We demonstrate the model performance on 29,229 diabetes patients, showing it finds clusters of patients with both different trajectories and different outcomes which can be utilized to aid clinical decision making."	"Carr O, Javer A, Rockenschaub P, Parsons O, Dürichen R. Longitudinal patient stratification of electronic health records with flexible adjustment for clinical outcomes. arXiv [cs.LG]. 2021. Available: http://arxiv.org/abs/2111.06152"	longitudinal-patient-stratification	http://arxiv.org/abs/2111.06152
2021-03-01	Feasibility study of hospital antimicrobial stewardship analytics using electronic health records	JAC Antimicrob Resist	"Background: Hospital antimicrobial stewardship (AMS) programmes are multidisciplinary initiatives to optimize antimicrobial use. Most hospitals depend on time-consuming manual audits to monitor clinicians' prescribing. But much of the information needed could be sourced from electronic health records (EHRs). Objectives: To develop an informatics methodology to analyse characteristics of hospital AMS practice using routine electronic prescribing and laboratory records. Methods: Feasibility study using electronic prescribing, laboratory and clinical coding records from adult patients admitted to six specialities at Queen Elizabeth Hospital, Birmingham, UK (September 2017-August 2018). The study involved: (i) a review of AMS standards of care; (ii) their translation into concepts measurable from commonly available EHRs; and (iii) a pilot application in an EHR cohort study (n = 61679 admissions). Results: We developed data modelling methods to characterize antimicrobial use (antimicrobial therapy episode linkage methods, therapy table, therapy changes). Prescriptions were linked into antimicrobial therapy episodes (mean 2.4 prescriptions/episode; mean length of therapy 5.8 days), enabling several actionable findings. For example, 22% of therapy episodes for low-severity community-acquired pneumonia were congruent with prescribing guidelines, with a tendency to use broader-spectrum antibiotics. Analysis of therapy changes revealed IV to oral therapy switching was delayed by an average 3.6 days (95% CI: 3.4-3.7). Microbial cultures were performed prior to treatment initiation in just 22% of antibacterial prescriptions. The proposed methods enabled fine-grained monitoring of AMS practice down to specialities, wards and individual clinical teams by case mix, enabling more meaningful peer comparison. Conclusions: It is feasible to use hospital EHRs to construct rapid, meaningful measures of prescribing quality with potential to support quality improvement interventions (audit/feedback to prescribers), engagement with front-line clinicians on optimizing prescribing, and AMS impact evaluation studies."	"Dutey-Magni PF, Gill MJ, McNulty D, Sohal G, Hayward A, Shallcross L, et al. Feasibility study of hospital antimicrobial stewardship analytics using electronic health records. JAC Antimicrob Resist. 2021;3: dlab018."	feasibility-abx-stewardship-in-hospital	http://dx.doi.org/10.1093/jacamr/dlab018
2020-09-11	The relationship between clinical outcomes and empirical antibiotic therapy in patients with community-onset Gram-negative bloodstream infections: a cohort study from a large teaching hospital	Epidemiol. Infect.	"Antibiotic-resistant Gram-negative bacteraemias (GNB) are increasing in incidence. We aimed to investigate the impact of empirical antibiotic therapy on clinical outcomes by carrying out an observational 6-year cohort study of patients at a teaching hospital with community-onset Escherichia coli bacteraemia (ECB), Klebsiella pneumoniae bacteraemia (KPB) and Pseudomonas aeruginosa bacteraemia (PsAB). Antibiotic therapy was considered concordant if the organism was sensitive in vitro and discordant if resistant. We estimated the association between concordant vs. discordant empirical antibiotic therapy on odds of in-hospital death and ICU admission for KPB and ECB. Of 1380 patients, 1103 (79.9%) had ECB, 189 (13.7%) KPB and 88 (6.4%) PsAB. Discordant therapy was not associated with increased odds of either outcome. For ECB, severe illness and non-urinary source were associated with increased odds of both outcomes (OR of in-hospital death for non-urinary source 3.21, 95% CI 1.73-5.97). For KPB, discordant therapy was associated with in-hospital death on univariable but not multivariable analysis. Illness severity was associated with increased odds of both outcomes. These findings suggest broadening of therapy for low-risk patients with community-onset GNB is not warranted. Future research should focus on the relationship between patient outcomes, clinical factors, infection focus and causative organism and resistance profile."	"Aryee A, Rockenschaub P, Gill MJ, Hayward A, Shallcross L. The relationship between clinical outcomes and empirical antibiotic therapy in patients with community-onset Gram-negative bloodstream infections: a cohort study from a large teaching hospital. Epidemiol Infect. 2020;148: e225."	abx-choice-and-outcomes-in-gram-neg-bact	http://dx.doi.org/10.1017/S0950268820002083
2020-09-01	Antibiotic prescribing for lower UTI in elderly patients in primary care and risk of bloodstream infection: A cohort study using electronic health records in England	PLoS Med.	"Background: Research has questioned the safety of delaying or withholding antibiotics for suspected urinary tract infection (UTI) in older patients. We evaluated the association between antibiotic treatment for lower UTI and risk of bloodstream infection (BSI) in adults aged >=65 years in primary care. Methods and findings: We analyzed primary care records from patients aged >=65 years in England with community-onset UTI using the Clinical Practice Research Datalink (2007-2015) linked to Hospital Episode Statistics and census data. The primary outcome was BSI within 60 days, comparing patients treated immediately with antibiotics and those not treated immediately. Crude and adjusted associations between exposure and outcome were estimated using generalized estimating equations. A total of 147,334 patients were included representing 280,462 episodes of lower UTI. BSI occurred in 0.4% (1,025/244,963) of UTI episodes with immediate antibiotics versus 0.6% (228/35,499) of episodes without immediate antibiotics. After adjusting for patient demographics, year of consultation, comorbidities, smoking status, recent hospitalizations, recent accident and emergency (A&E) attendances, recent antibiotic prescribing, and home visits, the odds of BSI were equivalent in patients who were not treated with antibiotics immediately and those who were treated on the date of their UTI consultation (adjusted odds ratio [aOR] 1.13, 95% CI 0.97-1.32, p-value = 0.105). Delaying or withholding antibiotics was associated with increased odds of death in the subsequent 60 days (aOR 1.17, 95% CI 1.09-1.26, p-value < 0.001), but there was limited evidence that increased deaths were attributable to urinary-source BSI. Limitations include overlap between the categories of immediate and delayed antibiotic prescribing, residual confounding underlying differences between patients who were/were not treated with antibiotics, and lack of microbiological diagnosis for BSI. Conclusions: In this study, we observed that delaying or withholding antibiotics in older adults with suspected UTI did not increase patients' risk of BSI, in contrast with a previous study that analyzed the same dataset, but mortality was increased. Our findings highlight uncertainty around the risks of delaying or withholding antibiotic treatment, which is exacerbated by systematic differences between patients who were and were not treated immediately with antibiotics. Overall, our findings emphasize the need for improved diagnostic/risk prediction strategies to guide antibiotic prescribing for suspected UTI in older adults."	"Shallcross L, Rockenschaub P, Blackburn R, Nazareth I, Freemantle N, Hayward A. Antibiotic prescribing for lower UTI in elderly patients in primary care and risk of bloodstream infection: A cohort study using electronic health records in England. PLoS Med. 2020;17: e1003336."	abx-for-uti	http://dx.doi.org/10.1371/journal.pmed.1003336
2020-09-16	Development of risk prediction models to predict urine culture growth for adults with suspected urinary tract infection in the emergency department: protocol for an electronic health record study from a single UK university hospital	Diagn Progn Res	"Background: Urinary tract infection (UTI) is a leading cause of hospital admissions and is diagnosed based on urinary symptoms and microbiological cultures. Due to lags in the availability of culture results of up to 72 h, and the limitations of routine diagnostics, many patients with suspected UTI are started on antibiotic treatment unnecessarily. Predictive models based on routinely collected clinical information may help clinicians to rule out a diagnosis of bacterial UTI in low-risk patients shortly after hospital admission, providing additional evidence to guide antibiotic treatment decisions. Methods: Using electronic hospital records from Queen Elizabeth Hospital Birmingham (QEHB) collected between 2011 and 2017, we aim to develop a series of models that estimate the probability of bacterial UTI at presentation in the emergency department (ED) among individuals with suspected UTI syndromes. Predictions will be made during ED attendance and at different time points after hospital admission to assess whether predictive performance may be improved over time as more information becomes available about patient status. All models will be externally validated for expected future performance using QEHB data from 2018/2019. Discussion: Risk prediction models using electronic health records offer a new approach to improve antibiotic prescribing decisions, integrating clinical and demographic data with test results to stratify patients according to their probability of bacterial infection. Used in conjunction with expert opinion, they may help clinicians to identify patients that benefit the most from early antibiotic cessation."	"Rockenschaub P, Gill MJ, McNulty D, Carroll O, Freemantle N, Shallcross L. Development of risk prediction models to predict urine culture growth for adults with suspected urinary tract infection in the emergency department: protocol for an electronic health record study from a single UK university hospital. Diagn Progn Res. 2020;4: 15."	uti-risk-prediction-protocol	http://dx.doi.org/10.1186/s41512-020-00083-2
2020-02-13	Data-driven discovery of changes in clinical code usage over time: a case-study on changes in cardiovascular disease recording in two English electronic health records databases (2001-2015)	BMJ Open	"Objectives: To demonstrate how data-driven variability methods can be used to identify changes in disease recording in two English electronic health records databases between 2001 and 2015. Design: Repeated cross-sectional analysis that applied data-driven temporal variability methods to assess month-by-month changes in routinely collected medical data. A measure of difference between months was calculated based on joint distributions of age, gender, socioeconomic status and recorded cardiovascular diseases. Distances between months were used to identify temporal trends in data recording. Setting: 400 English primary care practices from the Clinical Practice Research Datalink (CPRD GOLD) and 451 hospital providers from the Hospital Episode Statistics (HES). Main Outcomes: The proportion of patients (CPRD GOLD) and hospital admissions (HES) with a recorded cardiovascular disease (CPRD GOLD: coronary heart disease, heart failure, peripheral arterial disease, stroke; HES: International Classification of Disease codes I20-I69/G45). Results: Both databases showed gradual changes in cardiovascular disease recording between 2001 and 2008. The recorded prevalence of included cardiovascular diseases in CPRD GOLD increased by 47%-62%, which partially reversed after 2008. For hospital records in HES, there was a relative decrease in angina pectoris (-34.4%) and unspecified stroke (-42.3%) over the same time period, with a concomitant increase in chronic coronary heart disease (+14.3%). Multiple abrupt changes in the use of myocardial infarction codes in hospital were found in March/April 2010, 2012 and 2014, possibly linked to updates of clinical coding guidelines. Conclusions: Identified temporal variability could be related to potentially non-medical causes such as updated coding guidelines. These artificial changes may introduce temporal correlation among diagnoses inferred from routine data, violating the assumptions of frequently used statistical methods. Temporal variability measures provide an objective and robust technique to identify, and subsequently account for, those changes in electronic health records studies without any prior knowledge of the data collection process."	"Rockenschaub P, Nguyen V, Aldridge RW, Acosta D, Garcia-Gomez JM, Saez C. Data-driven discovery of changes in clinical code usage over time: a case-study on changes in cardiovascular disease recording in two English electronic health records databases (2001-2015). BMJ Open. 2020;10: e034396."	discovery-of-changes-in-clinical-coding	http://dx.doi.org/10.1136/bmjopen-2019-034396
2018-02-01	Linking individual-level data on diagnoses and dispensing for research on antibiotic use: Evaluation of a novel data source from English secondary care	Pharmacoepidemiol. Drug Saf.	"Purpose: There has been a focus on stewardship programmes to curb inappropriate antibiotic prescribing and reduce antimicrobial resistance. In-hospital, patient-level prescribing linked to indication is needed to support surveillance, evaluation of stewardship initiatives, as well as other antibiotic research. We evaluated whether a novel dataset linking hospital pharmacy records to Hospital Episode Statistics data can be used for antibiotic research. Methods: Using the Hospital Treatment Insights (HTI) database, which links Hospital Episode Statistics to pharmacy records from 43 out of 153 hospital trusts in England, we estimated the proportion of missed linkage and identified characteristics associated with missing data. Results: Linkage of antibiotics to patients was inconsistent and dependent on drug type and clinical setting, so that linkage for some specific antibiotics was high (80-100%), but overall, only 27.6% (CI: 27.4%-27.8%) for all antibiotics dispensed. Linkage was best for quinolones (62.6%; CI: 61.8%-63.8%), but only 21.1% (CI: 21.1%-21.2%) for penicillins. Linkage was lower for common antibiotics and in emergency departments; however, 80% linkage was achieved for individual drugs like clindamycin, especially on wards with reduced ward stock use. Conclusions: For those antibiotics with high linkage, HTI might be used to study associations between indication, dispensing, and outcomes. However, the majority of common antibiotics had insufficient linkage, likely due to extensive use of ward stocks. Therefore, HTI in its current form is not suitable for general antibiotic surveillance or evaluation of stewardship initiatives. For drugs in HTI other than antibiotics, linkage should be similarly evaluated before a study is conducted."	"Rockenschaub P, Ansell D, Shallcross L. Linking individual-level data on diagnoses and dispensing for research on antibiotic use: Evaluation of a novel data source from English secondary care. Pharmacoepidemiol Drug Saf. 2018;27: 206-212."	linking-antibiotics-hospital	http://dx.doi.org/10.1002/pds.4367
2019-10-21	Antibiotic prescribing before and after the diagnosis of comorbidity: a cohort study using primary care electronic health records	Clin. Infect. Dis.	"Background: Comorbidities like diabetes or COPD increase patients' susceptibility to infections, but it is unclear how the onset of comorbidity impacts antibiotic use. We aimed to estimate rates of antibiotic use before and after diagnosis of comorbidity in primary care to identify opportunities for antibiotic stewardship. Methods: We analysed UK primary care records from the Clinical Practice Research Datalink (CPRD) database. Adults registered between 2008-2015 without prior comorbidity diagnoses were eligible for inclusion. Monthly adjusted rates of antibiotic prescribing were estimated for patients with new-onset stroke, coronary heart disease, heart failure, peripheral arterial disease, asthma, chronic kidney disease, diabetes or COPD in the 12 months before and after diagnosis, and for controls without comorbidity. Results: 106,540 / 1,071,94 (9.9%) eligible patients were diagnosed with comorbidity. Antibiotic prescribing rates increased 1.9-2.3 fold in the 4-9 months preceding diagnosis of asthma, heart failure and COPD, before declining to stable levels within 2 months after diagnosis. A less marked trend was seen for diabetes (Rate ratio 1.55, 95%-CI: 1.48-1.61). Prescribing rates for patients with vascular conditions increased immediately before diagnosis and remained 30-39% higher than baseline afterwards. Rates of prescribing to controls increased by 17-28% in the months just before and after consultation. Conclusions: Antibiotic prescribing increased rapidly before diagnosis of conditions presenting with respiratory symptoms (COPD, heart failure, asthma), and declined afterwards. This suggests onset of respiratory symptoms may be misdiagnosed as infection. Earlier diagnosis of these comorbidities could reduce avoidable antibiotic prescribing."	"Rockenschaub P, Hayward A, Shallcross L. Antibiotic prescribing before and after the diagnosis of comorbidity: a cohort study using primary care electronic health records. Clin Infect Dis. 2019;71: e50-e57."	abx-at-comorbidity-diagnosis	http://dx.doi.org/10.1093/cid/ciz1016
2020-05-19	Diagnostic uncertainty and urinary tract infection in the emergency department: a cohort study from a UK hospital	BMC Emerg. Med.	"Background: Suspected urinary tract infection (UTI) syndromes are a common reason for empirical antibiotics to be prescribed in the Emergency Department (ED), but differentiating UTI from other conditions with a similar presentation is challenging. We investigated how often an ED diagnosis of UTI is confirmed clinically/microbiologically, and described conditions which present as UTI syndromes. Methods: Observational study using electronic health records from patients who attended the ED with suspected UTI and had a urine sample submitted for culture. We compared the ED diagnosis to diagnosis at discharge from hospital (ICD-10 codes), and estimated the proportion of cases with clinical/microbiological evidence of UTI. Results: Two hundred eighty nine patients had an ED diagnosis of UTI syndrome comprising: lower UTI (191), pyelonephritis (56) and urosepsis (42). In patients admitted to hospital with an ED diagnosis of lower UTI, pyelonephritis or urosepsis, clinical/microbiological evidence of UTI was lacking in 61/103, 33/54 and 31/42 cases respectively. The ED diagnosis was concordant with the main reason for admission in less than 40% of patients with UTI syndromes, and antibiotics were stopped within 72 h in 37/161 patients. Conclusions: Clinical/microbiological evidence of UTI was lacking in 60-70% of patients, suggesting scope to revise empirical prescribing decisions for UTI syndromes in light of microbial culture and clinical progression."	"Shallcross LJ, Rockenschaub P, McNulty D, Freemantle N, Hayward A, Gill MJ. Diagnostic uncertainty and urinary tract infection in the emergency department: a cohort study from a UK hospital. BMC Emerg Med. 2020;20: 40."	diagnostic-uncertainty-uti	http://dx.doi.org/10.1186/s12873-020-00333-y
2020-01-14	An interdisciplinary mixed-methods approach to developing antimicrobial stewardship interventions: Protocol for the Preserving Antibiotics through Safe Stewardship (PASS) Research Programme	Wellcome Open Res	"Behaviour change is key to combating antimicrobial resistance. Antimicrobial stewardship (AMS) programmes promote and monitor judicious antibiotic use, but there is little consideration of behavioural and social influences when designing interventions. We outline a programme of research which aims to co-design AMS interventions across healthcare settings, by integrating data-science, evidence- synthesis, behavioural-science and user-centred design. The project includes three work-packages (WP): WP1 (Identifying patterns of prescribing): analysis of electronic health-records to identify prescribing patterns in care-homes, primary-care, and secondary-care. An online survey will investigate consulting/antibiotic-seeking behaviours in members of the public. WP2 (Barriers and enablers to prescribing in practice): Semi-structured interviews and observations of practice to identify barriers/enablers to prescribing, influences on antibiotic-seeking behaviour and the social/contextual factors underpinning prescribing. Systematic reviews of AMS interventions to identify the components of existing interventions associated with effectiveness. Design workshops to identify constraints influencing the form of the intervention. Interviews conducted with healthcare-professionals in community pharmacies, care-homes, primary-, and secondary-care and with members of the public. Topic guides and analysis based on the Theoretical Domains Framework. Observations conducted in care-homes, primary and secondary-care with analysis drawing on grounded theory. Systematic reviews of interventions in each setting will be conducted, and interventions described using the Behaviour Change Technique taxonomy v1. Design workshops in care-homes, primary-, and secondary care. WP3 (Co-production of interventions and dissemination). Findings will be integrated to identify opportunities for interventions, and assess whether existing interventions target influences on antibiotic use. Stakeholder panels will be assembled to co-design and refine interventions in each setting, applying the Affordability, Practicability, Effectiveness, Acceptability, Side-effects and Equity (APEASE) criteria to prioritise candidate interventions. Outputs will inform development of new AMS interventions and/or optimisation of existing interventions. We will also develop web-resources for stakeholders providing analyses of antibiotic prescribing patterns, prescribing behaviours, and evidence reviews."	"Shallcross L, Lorencatto F, Fuller C, Tarrant C, West J, Traina R, et al. An interdisciplinary mixed-methods approach to developing antimicrobial stewardship interventions: Protocol for the Preserving Antibiotics through Safe Stewardship (PASS) Research Programme. Wellcome Open Res. 2020;5: 8."	pass-project	http://dx.doi.org/10.12688/wellcomeopenres.15554.1
